;lon;lat
0;-87.55515780805858;39.25742919236571
1;-87.55516099595226;39.25654223714952
3;-87.55222736947209;39.25661024657534
4;-87.55123964079453;39.257428953293704
5;-87.54724121560498;39.25743306562437
6;-87.54716617750071;39.254998662007004
7;-87.54920449486238;39.25484939632564
8;-87.42033750233945;39.16284749574204
9;-87.44028910007347;39.16278734283621
10;-87.44902045838899;39.20877327291433
11;-87.44693247518954;39.20884889139945
12;-87.44942648401796;39.20552325565745
13;-87.44688309391468;39.20556908106603
14;-87.46736699742024;39.16083913549632
15;-87.46249407550475;39.16072791717681
16;-87.46249739820232;39.1579209541278
17;-87.46521808560917;39.166439086487536
18;-87.46118763390155;39.16765807981744
19;-87.45940703049367;39.16736324177429
20;-87.4900440190645;39.17655583850763
21;-87.4892033572484;39.17735683868995
22;-87.4884140556068;39.17638245456181
23;-87.47671149623324;39.17624169381979
24;-87.44614332717146;39.21020806239951
25;-87.44067708195536;39.21027842724219
26;-87.4433327438386;39.205780883727556
27;-87.44617176416332;39.20554927449495
28;-87.44813617240568;39.212525244018636
29;-87.44696046930156;39.21240811808346
30;-87.4469738173381;39.210745539913844
31;-87.44454511904169;39.2107007705026
34;-87.4470431677017;39.20221638204337
36;-87.44705005149984;39.201360306355824
37;-87.4491873520462;39.20224417647966
39;-87.51888768809137;39.099440392504995
40;-87.51888022066925;39.098471724455614
41;-87.52490744374632;39.098178921932465
42;-87.5248834384528;39.093479718531405
43;-87.52315969917451;39.09342438717364
44;-87.52289918404793;39.09543504408755
46;-87.51593727825612;39.09929127773298
47;-87.5153984070635;39.087223244877684
48;-87.46316831364716;39.087253179719774
49;-87.4615356823978;39.085290713213794
50;-87.49571212356165;39.15655890967332
51;-87.49915893070383;39.15204768102722
52;-87.49930296934475;39.14535635010563
53;-87.49697656907986;39.144577826984815
54;-87.49737335664447;39.13965609193075
55;-87.49913863211901;39.139342170392865
56;-87.49969542149302;39.115235113126026
57;-87.50492730263534;39.109905027449145
58;-87.51711529345815;39.109464126358894
59;-87.51897941878642;39.10859978182295
61;-87.52645033511142;39.10514657092455
62;-87.60609310464862;39.10507060965519
63;-87.61123563283569;39.10053821682244
64;-87.61341087867297;39.100530344835754
67;-87.46515311275434;39.16261415601249
68;-87.46509051334964;39.17057565996902
70;-87.4650811305896;39.17178768451564
71;-87.46169540833549;39.17582907430361
72;-87.46162614507269;39.176964739115796
73;-87.46042736033755;39.177438053020666
74;-87.46034015824404;39.18126357822093
75;-87.4566788630038;39.18130050905801
76;-87.4556967115256;39.183120080463006
77;-87.45975638415777;39.18312665669181
78;-87.45931338049617;39.18393939865758
79;-87.46331782095778;39.176516480867036
82;-87.46188780249601;39.17266544470035
83;-87.46177084970164;39.17458525010386
87;-87.45895163082199;39.17454682808832
88;-87.45898528979215;39.172712955088244
89;-87.47904407897025;39.15653399832796
90;-87.46520048346034;39.15657205884648
92;-87.47897351329807;39.16570302320882
95;-87.47457283957769;39.165833665170815
96;-87.47848470968394;39.182501586199
97;-87.47681514537193;39.182535456876636
98;-87.4786656982005;39.18112666134967
99;-87.47884075118984;39.178129779491435
100;-87.48038506018787;39.17709166521874
101;-87.48057221418547;39.16998569583427
102;-87.47895073451879;39.168690279960636
103;-87.47896320791442;39.16706373267245
106;-87.48125858815125;39.16703175201776
108;-87.44453698300904;39.16282527939144
109;-87.44643297162413;39.16280451362602
114;-87.35234762819017;39.18496975674506
115;-87.3568434531684;39.18498310175153
116;-87.3522256820225;39.19786940933043
118;-87.34090305776276;39.1849272063279
120;-87.38837270493399;39.16604018464003
121;-87.39336135942006;39.165906311503605
122;-87.39642108712566;39.16303944023318
123;-87.41043790653094;39.1628287097798
124;-87.33259930924304;39.18491065070169
125;-87.35618214607483;39.17059448466882
126;-87.37757594361817;39.17069384022379
127;-87.37857263567894;39.169555212476645
128;-87.38325944528539;39.1693461556392
130;-87.55496625578678;39.15979709950086
131;-87.55465801532024;39.12061849810705
132;-87.5528655312466;39.11944205499581
133;-87.55285861373906;39.11189529818142
134;-87.55525402025658;39.10499041316917
136;-87.54342078257356;39.1596577717478
137;-87.53582028326598;39.15635437167742
140;-87.55516223945733;39.25596553513302
144;-87.43957345858492;39.206038423400614
155;-87.44618394019226;39.20543990342338
226;-87.34956818443571;39.18996573264823
227;-87.34854241641487;39.190131003008325
228;-87.34837254380415;39.19200580503345
229;-87.3462846557017;39.19209763983599
230;-87.34586502324537;39.192346685175295
231;-87.34394836769658;39.19237939485486
232;-87.32886341963162;39.18670094354799
233;-87.32901416527632;39.18488478723788
264;-87.33644455910762;39.18955381620835
